列车服务人员/五险一金/上几休几,6-8千
工程巡查员,8千-1.2万·13薪
高铁工作人员/五险一金/包吃住,6-8千
物流操作人员（阿拉山口，霍尔果斯）,4.5-6.5千
列车服务人员/五险一金/上几休几,6-8千
医疗器械维修人员,8千-1万·13薪
高铁工作人员/五险一金/包吃住,6-8千
财务管理部工作人员,8.5-11万/年
列车服务人员/五险一金/上几休几,6-8千
储备人员,4-8千
动车工作人员/五险一金/包吃住,6-8千
工程人员（水电维修）,3-4千
列车服务人员/五险一金/上几休几,6-8千
酒店工程人员,4-5千
高铁工作人员/五险一金/管吃住,6-8千
地铁设备运维人员,5-9千
列车服务人员/五险一金/上几休几,6-8千
保洁人员,4-5千
高铁工作人员/五险一金/管吃住,6-8千
制剂研发人员,4-7千
列车服务人员/五险一金/上几休几,6-8千
生产操作人员,6.5-8.5千·13薪
高铁工作人员/五险一金/包吃住,6-8千
铁路安检服务人员/包食宿,6-8千
列车服务人员/五险一金/上几休几,6-8千
机电安装施工人员,5-7千
高铁工作人员/五险一金/管吃住,6-8千
实验室技术人员,5千-1万
列车服务人员/五险一金/上几休几,6-8千
人员管理岗 (MJ002208),5-8千
高铁工作人员/五险一金/包吃住,6-8千
列车工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
场地管理员（退休人员）,3.8-4千
高铁工作人员/五险一金/管吃住,6-8千
工程巡查员,6-9千·13薪
列车服务人员/五险一金/上几休几,6-8千
项目主管（佛山建绿环境卫生管理有限公司）,7.5-8.5千
高铁工作人员/五险一金/管吃住,6-8千
工程巡查员,6-9千·13薪
列车服务人员/五险一金/上几休几,6-8千
招聘信息技术人员,5-5.5千
高铁工作人员/五险一金/包吃住,6-8千
工程巡查员,6-9千·13薪
仓储部储备人员,8千-1.2万
仓储管理员（储备人员）,5-7千
高铁工作人员/五险一金/包吃住,6-8千
高速服务区加油站站长,7-9千
热管理技术人员,1-1.8万·14薪
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
仓库人员,4-6千
万能工/物业工程人员,6-7千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
国际项目管理（留学归国人员）,1-1.8万
保安人员（五险一金，包住宿）,4.5-5.1千
养护带班人员,5-6.5千
高铁工作人员/五险一金/管吃住,6-8千
快配仓人员,5-7千
列车工作人员/五险一金/上几休几,6-8千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
快配仓人员,5-7千
保洁人员,3-4千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
大厅工作人员,4-5千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
